bairro_origem,bairro_destino,logradouro,observacao,peso
Sitio dos Pintos,Tamarineira,"av.sítio_dos_pintos+av.17_de_agosto+av.norte","av = avenida",3.0
Alto Jose Bonifacio,Alto Jose do Pinho,"r.josé_bonifácio+av.boa_viagem+r.alto_do_pinho","av = avenida; r = rua",5.0
Alto Jose Bonifacio,Mangabeira,"r.josé_bonifácio+av.boa_viagem+av.mangabeira","av = avenida; r = rua",4.0
Alto Jose Bonifacio,Morro da Conceicao,"r.josé_bonifácio+av.boa_viagem+r.morro_da_conceição","av = avenida; r = rua",5.0
Alto Jose Bonifacio,Vasco da Gama,"r.josé_bonifácio+av.boa_viagem+av.vasco_da_gama","av = avenida; r = rua",4.0
Alto Jose do Pinho,Mangabeira,"av.boa_viagem+av.mangabeira","av = avenida",2.0
Alto Jose do Pinho,Morro da Conceicao,"av.boa_viagem+r.morro_da_conceição","av = avenida; r = rua",3.0
Alto Jose do Pinho,Vasco da Gama,"av.boa_viagem+av.vasco_da_gama","av = avenida",2.0
Mangabeira,Morro da Conceicao,"av.mangabeira+r.morro_da_conceição","av = avenida; r = rua",3.0
Mangabeira,Vasco da Gama,"av.mangabeira+av.vasco_da_gama","av = avenida",2.0
Morro da Conceicao,Vasco da Gama,"r.morro_da_conceição+av.vasco_da_gama","av = avenida; r = rua",3.0
Brejo da Guabiraba,Brejo de Beberibe,"av.brejo+r.de_beberibe","av = avenida; r = rua",3.0
Brejo da Guabiraba,Corrego do Jenipapo,"av.brejo+r.córrego_do_jenipapo","av = avenida; r = rua",3.0
Brejo da Guabiraba,Guabiraba,"av.brejo+r.guabiraba","av = avenida; r = rua",3.0
Brejo da Guabiraba,Macaxeira,"av.brejo+av.macaxeira","av = avenida",2.0
Brejo da Guabiraba,Nova Descoberta,"av.brejo+av.nova_descoberta","av = avenida",2.0
Brejo da Guabiraba,Passarinho,"av.brejo+av.passarinho","av = avenida",2.0
Brejo da Guabiraba,Pau-Ferro,"av.brejo+av.pau-ferro","av = avenida",2.0
Brejo de Beberibe,Corrego do Jenipapo,"r.de_beberibe+r.córrego_do_jenipapo","r = rua",4.0
Brejo de Beberibe,Guabiraba,"r.de_beberibe+av.guabiraba","av = avenida; r = rua",3.0
Brejo de Beberibe,Macaxeira,"r.de_beberibe+av.macaxeira","av = avenida; r = rua",3.0
Brejo de Beberibe,Nova Descoberta,"r.de_beberibe+av.nova_descoberta","av = avenida; r = rua",3.0
Brejo de Beberibe,Passarinho,"r.de_beberibe+av.passarinho","av = avenida; r = rua",3.0
Brejo de Beberibe,Pau-Ferro,"r.de_beberibe+av.pau-ferro","av = avenida; r = rua",3.0
Corrego do Jenipapo,Guabiraba,"r.córrego_do_jenipapo+av.guabiraba","av = avenida; r = rua",3.0
Corrego do Jenipapo,Macaxeira,"r.córrego_do_jenipapo+av.macaxeira","av = avenida; r = rua",3.0
Corrego do Jenipapo,Nova Descoberta,"r.córrego_do_jenipapo+av.nova_descoberta","av = avenida; r = rua",3.0
Corrego do Jenipapo,Passarinho,"r.córrego_do_jenipapo+av.passarinho","av = avenida; r = rua",3.0
Corrego do Jenipapo,Pau-Ferro,"r.córrego_do_jenipapo+av.pau-ferro","av = avenida; r = rua",3.0
Guabiraba,Macaxeira,"av.guabiraba+av.macaxeira","av = avenida",2.0
Guabiraba,Nova Descoberta,"av.guabiraba+av.nova_descoberta","av = avenida",2.0
Guabiraba,Passarinho,"av.guabiraba+av.passarinho","av = avenida",2.0
Guabiraba,Pau-Ferro,"av.guabiraba+av.pau-ferro","av = avenida",2.0
Macaxeira,Nova Descoberta,"av.macaxeira+av.nova_descoberta","av = avenida",2.0
Macaxeira,Passarinho,"av.macaxeira+av.passarinho","av = avenida",2.0
Macaxeira,Pau-Ferro,"av.macaxeira+av.pau-ferro","av = avenida",2.0
Nova Descoberta,Passarinho,"av.nova_descoberta+av.passarinho","av = avenida",2.0
Nova Descoberta,Pau-Ferro,"av.nova_descoberta+av.pau-ferro","av = avenida",2.0
Passarinho,Pau-Ferro,"av.passarinho+av.pau-ferro","av = avenida",2.0
Cordeiro,Ilha do Retiro,"av.cordeiro+av.ilha_do_retiro","av = avenida",2.0
Cordeiro,Iputinga,"av.cordeiro+av.iputinga","av = avenida",2.0
Cordeiro,Madalena,"av.cordeiro+av.madalena","av = avenida",2.0
Cordeiro,Prado,"av.cordeiro+av.prado","av = avenida",2.0
Cordeiro,Torre,"av.cordeiro+av.torre","av = avenida",2.0
Cordeiro,Zumbi,"av.cordeiro+av.zumbi","av = avenida",2.0
Ilha do Retiro,Iputinga,"av.ilha_do_retiro+av.iputinga","av = avenida",2.0
Ilha do Retiro,Madalena,"av.ilha_do_retiro+av.madalena","av = avenida",2.0
Ilha do Retiro,Prado,"av.ilha_do_retiro+av.prado","av = avenida",2.0
Ilha do Retiro,Torre,"av.ilha_do_retiro+av.torre","av = avenida",2.0
Ilha do Retiro,Zumbi,"av.ilha_do_retiro+av.zumbi","av = avenida",2.0
Iputinga,Madalena,"av.iputinga+av.madalena","av = avenida",2.0
Iputinga,Prado,"av.iputinga+av.prado","av = avenida",2.0
Iputinga,Torre,"av.iputinga+av.torre","av = avenida",2.0
Iputinga,Zumbi,"av.iputinga+av.zumbi","av = avenida",2.0
Madalena,Prado,"av.madalena+av.prado","av = avenida",2.0
Madalena,Torre,"av.madalena+av.torre","av = avenida",2.0
Madalena,Zumbi,"av.madalena+av.zumbi","av = avenida",2.0
Prado,Torre,"av.recife+av.beira_rio","av = avenida",2.0
Prado,Zumbi,"av.recife+av.sul+av.maracanã","av = avenida",3.0
Torre,Zumbi,"av.beira_rio+av.sul+av.maracanã","av = avenida",3.0
Engenho do Meio,Torroes,"av.caxangá+r.torrões","av = avenida; r = rua",3.0
Caxanga,Cidade Universitaria,"av.caxangá+r.prof.luís_freire","av = avenida; r = rua",3.0
Caxanga,Varzea,"4av.caxangá","av = avenida",1.0
Cidade Universitaria,Varzea,"r.prof.luís_freire","r = rua",2.0
Afogados,Bongi,"av.sul+av.recife","av = avenida",2.0
Afogados,Mangueira,"1av.recife+r.tres_de_marco","av = avenida; r = rua",3.0
Afogados,Mustardinha,"av.sul+av.recife+r.mustardinha","av = avenida; r = rua",4.0
Afogados,San Martin,"av.sul+av.recife+r.san_martin","av = avenida; r = rua",4.0
Bongi,Mangueira,"2av.recife+r.tres_de_marco","av = avenida; r = rua",3.0
Bongi,Mustardinha,"av.recife+r.mustardinha","av = avenida; r = rua",3.0
Bongi,San Martin,"av.recife+r.san_martin","av = avenida; r = rua",3.0
Mangueira,Mustardinha,"r.tres_de_marco+r.mustardinha","r = rua",4.0
Mangueira,San Martin,"r.tres_de_marco+r.san_martin","r = rua",4.0
Mustardinha,San Martin,"r.mustardinha+r.san_martin","r = rua",4.0
Areias,Cacote,"r.areias+r.caçote","r = rua",4.0
Areias,Estancia,"r.areias+r.estância","r = rua",4.0
Areias,Jiquia,"r.areias+av.brigadeiro","av = avenida; r = rua",3.0
